timestep,lad_uk_2016,gva_per_sector
2015,E07000176,1773.5473127119694
2015,E07000177,4679.393900433202
2015,E07000178,6014.220041929395
2015,E07000179,3590.8494410783437
2015,E07000180,3821.6455702960884
2015,E07000181,2864.1057923747553
2015,E07000187,2084.3311023866436
2015,E07000188,1999.7059026112497
2015,E07000189,2959.567836587483
2015,E07000190,2506.1154458305264
2015,E07000191,649.7936537634857
2015,E07000192,1700.5751254534084
2015,E07000193,2386.436029070852
2015,E07000194,1877.9180618280316
2015,E07000195,1932.2407909546625
2015,E07000196,1627.1940628144969
2015,E07000197,2637.8610924035916
2015,E07000198,1150.2380004401778
2015,E07000199,1115.8326182882865
2015,E07000200,1546.8044965298
2015,E07000201,1193.0848825290534
2015,E07000202,3625.108251799589
2015,E07000203,1851.7049414899013
2015,E07000204,2992.203792876767
2015,E07000205,2723.8856715814086
2015,E07000206,1833.4452647341675
2015,E07000207,3156.118258769529
2015,E07000208,1503.2857382316568
2015,E07000209,4247.123765718853
2015,E07000210,2445.2729894683516
2015,E07000211,3808.5375676055046
2015,E07000212,3423.0969529329386
2015,E07000213,2135.2515567395963
2015,E07000214,2813.7737941788764
2015,E07000215,1596.7475803728933
2015,E07000216,2878.376223059218
2015,E07000217,2479.2942916244087
2015,E07000218,2147.292269363264
2015,E07000219,2152.276509596197
2015,E07000220,2213.8689427552713
2015,E07000221,3660.4324448660045
2015,E07000222,4847.126911873738
2015,E07000223,1018.572434845675
2015,E07000224,2378.3819037907506
2015,E07000225,3296.370806631561
2015,E07000226,4783.918510075128
2015,E07000227,3146.8568712882893
2015,E07000228,3327.6570807888725
2015,E07000229,2775.450962082674
2015,E07000234,2623.568070681258
2015,E07000235,1238.3342340273846
2015,E07000236,1765.3003514865366
2015,E07000237,2346.606138975974
2015,E07000238,2782.8190516671666
2015,E07000239,1522.3343728524878
2015,E07000240,3549.9093405568706
2015,E07000241,4383.603214084907
2015,E07000242,3829.5154314845563
2015,E07000243,2384.054528595503
2015,E08000001,4914.298646054513
2015,E08000002,2942.6223015334926
2015,E08000003,15895.438289491463
2015,E08000004,3811.300112003153
2015,E08000005,3175.737522624528
2015,E08000006,5545.228649566386
2015,E08000007,5896.85387148067
2015,E08000008,3003.1743943383062
2015,E08000009,6284.121903267738
2015,E08000010,4493.0557963673655
2015,E08000011,2759.27410494535
2015,E08000012,10143.611726455496
2015,E08000013,2577.2939132384204
2015,E08000014,3976.008060947253
2015,E08000015,4555.464197704687
2015,E08000016,3194.6082927325997
2015,E08000017,4767.065673999218
2015,E08000018,4275.630539607459
2015,E08000019,10299.232321730911
2015,E08000021,7141.809810839171
2015,E08000022,3512.6117882935305
2015,E08000023,1724.156038733418
2015,E08000024,5513.7740657062
2015,E08000025,22631.954175267183
2015,E08000026,7561.519514842057
2015,E08000027,5153.990817050801
2015,E08000028,6278.79783022695
2015,E08000029,5402.330034497269
2015,E08000030,4665.104533221384
2015,E08000031,4566.499502799005
2015,E08000032,9361.752541112619
2015,E08000033,4393.688545535146
2015,E08000034,7380.139332822331
2015,E08000035,19293.11174913508
2015,E08000036,6534.9485440721755
2015,E08000037,3699.4625359409315
2015,E09000001,52228.22599887446
2015,E09000002,3342.9313748674535
2015,E09000003,8511.1616058703
2015,E09000004,4187.617124912772
2015,E09000005,7635.501044866664
2015,E09000006,6038.476822201871
2015,E09000007,24214.58968709262
2015,E09000008,7040.931120868479
2015,E09000009,8299.295628305868
2015,E09000010,5691.215337052485
2015,E09000011,4167.285129332568
2015,E09000012,8571.889286628077
2015,E09000013,9758.95653109799
2015,E09000014,5737.529680118915
2015,E09000015,4951.2919486994615
2015,E09000016,4246.482618489581
2015,E09000017,10022.708254475356
2015,E09000018,10370.64516891589
2015,E09000019,16095.987166039464
2015,E09000020,9132.77006630938
2015,E09000021,4243.2788859948605
2015,E09000022,9535.806187813958
2015,E09000023,5153.3750950309295
2015,E09000024,4745.056574700715
2015,E09000025,7134.146384269437
2015,E09000026,4810.807046869701
2015,E09000027,4911.595576935206
2015,E09000028,16931.136979566778
2015,E09000029,3697.255102281628
2015,E09000030,26814.013478366163
2015,E09000031,4458.910207659391
2015,E09000032,8059.511434076752
2015,E09000033,48436.77894518335
2015,N09000001,2186.8402142913897
2015,N09000002,3025.80505198328
2015,N09000003,13916.674972482511
2015,N09000004,1486.1662839113492
2015,N09000005,2121.3825181637803
2015,N09000006,1299.9345287313909
2015,N09000007,2019.047246753011
2015,N09000008,1848.4884610683957
2015,N09000009,1972.0283382669822
2015,N09000010,2057.768700800329
2015,N09000011,1370.0019217693948
