timestep,dwellings,lad16nm,lad_uk_2016
2028,37430.0,Daventry,E07000151
2029,37710.0,Daventry,E07000151
2030,37990.0,Daventry,E07000151
2031,38270.0,Daventry,E07000151
2032,38550.0,Daventry,E07000151
2033,38830.0,Daventry,E07000151
2034,39110.0,Daventry,E07000151
2035,39390.0,Daventry,E07000151
2036,39670.0,Daventry,E07000151
2037,39950.0,Daventry,E07000151
2038,40230.0,Daventry,E07000151
2039,40510.0,Daventry,E07000151
2040,40790.0,Daventry,E07000151
2041,41070.0,Daventry,E07000151
2042,41350.0,Daventry,E07000151
2043,41630.0,Daventry,E07000151
2044,41910.0,Daventry,E07000151
2045,42190.0,Daventry,E07000151
2046,42470.0,Daventry,E07000151
2047,42750.0,Daventry,E07000151
2048,43030.0,Daventry,E07000151
2049,43310.0,Daventry,E07000151
2050,43590.0,Daventry,E07000151
2004,73050.0,Luton,E06000032
2005,73590.0,Luton,E06000032
2006,74150.0,Luton,E06000032
2007,74550.0,Luton,E06000032
2008,75010.0,Luton,E06000032
2009,75430.0,Luton,E06000032
2010,75800.0,Luton,E06000032
2011,76010.0,Luton,E06000032
2012,76370.0,Luton,E06000032
2013,76730.0,Luton,E06000032
2014,76910.0,Luton,E06000032
2015,77100.0,Luton,E06000032
2016,77730.0,Luton,E06000032
2017,78128.0,Luton,E06000032
2018,78526.0,Luton,E06000032
2019,78924.0,Luton,E06000032
2020,79322.0,Luton,E06000032
2021,79720.0,Luton,E06000032
2022,80118.0,Luton,E06000032
2023,80516.0,Luton,E06000032
2024,80914.0,Luton,E06000032
2025,81312.0,Luton,E06000032
2026,81710.0,Luton,E06000032
2027,82108.0,Luton,E06000032
2028,82506.0,Luton,E06000032
2029,82904.0,Luton,E06000032
2030,83302.0,Luton,E06000032
2031,83700.0,Luton,E06000032
2032,84098.0,Luton,E06000032
2033,84496.0,Luton,E06000032
2034,84894.0,Luton,E06000032
2035,85292.0,Luton,E06000032
2036,85690.0,Luton,E06000032
2037,86088.0,Luton,E06000032
2038,86486.0,Luton,E06000032
2039,86884.0,Luton,E06000032
2040,87282.0,Luton,E06000032
2041,87680.0,Luton,E06000032
2042,88078.0,Luton,E06000032
2043,88476.0,Luton,E06000032
2044,88874.0,Luton,E06000032
2045,89272.0,Luton,E06000032
2046,89670.0,Luton,E06000032
2047,90068.0,Luton,E06000032
2048,90466.0,Luton,E06000032
2049,90864.0,Luton,E06000032
2050,91262.0,Luton,E06000032
2004,90090.0,Milton Keynes,E06000042
2005,91490.0,Milton Keynes,E06000042
2006,93320.0,Milton Keynes,E06000042
2007,95020.0,Milton Keynes,E06000042
2008,97350.0,Milton Keynes,E06000042
2009,99230.0,Milton Keynes,E06000042
2010,100680.0,Milton Keynes,E06000042
2011,102010.0,Milton Keynes,E06000042
