GEOGRAPHY_CODE,YEAR,HOUSEHOLDS,CUM_HOUSEHOLDS,D_JOBS,CUM_D_JOBS
E07000178,2021,23.8249813496381,37.5618842542054,4426.05474751789,8851.07328266673
E07000179,2021,-80.141838829441,-166.240504389607,-8.23189124924315,-17.0756470445728
E07000180,2021,-130.754065079713,-273.845813146975,-13.430603288544,-28.128490508984
E07000181,2021,-62.3801437868541,-135.885571696879,-6.40747164359911,-13.9576938199603
E07000242,2021,-175.227553090197,-360.193056649924,-17.9987654635593,-36.9977793669667
E07000243,2021,-62.8158011792982,-134.244492159862,-6.4522208573545,-13.7891278314903
E07000004,2021,8425.33539633108,16888.2948860013,2634.86419120662,5273.59299856435
E06000056,2021,4419.32010915047,8876.2643116401,1338.65871329101,2681.18204273313
E07000012,2021,4419.32010915047,8876.2643116401,1338.65871329101,2681.18204273313
E07000011,2021,4419.32010915047,8876.2643116401,1338.65871329101,2681.18204273313
E06000030,2022,-182.157503035603,-508.103650928151,-18.7105858453537,-52.1906417281681
E06000032,2022,-192.874003057433,-455.599958418865,-19.8113474954572,-46.7976448462276
E06000042,2022,-350.47267717842,-947.070850928151,4387.60819244936,13173.5427572086
E06000055,2022,-237.852398864381,-695.916431360561,-24.4313720451334,-71.4821180196956
E07000008,2022,7.34984511902243,125.796459663683,4424.36247876355,13283.7439599094
E07000009,2022,-88.2485288490963,-258.8686044988,-9.06458228313807,-26.5900836716842
E07000099,2022,-143.697689102424,-393.07226992793,-14.760127378362,-40.3750179232371
E07000151,2022,-84.1343313387209,-248.394739288053,-8.64198620875306,-25.5142446263935
E07000154,2022,-229.655269884254,-667.522215330864,-23.5893914354292,-68.5655627986277
E07000155,2022,-108.526752566062,-290.903893077092,-11.147490971085,-29.8806372148322
E07000156,2022,-68.8170721991712,-200.28560506661,-7.0686505664103,-20.5726415038473
E07000177,2022,-114.905541646648,-298.29043057436,-11.8026980237332,-30.63935668364
E07000178,2022,-3.45450989298754,34.1073743612178,4423.25269295408,13274.3259756208
E07000179,2022,-110.798062459051,-277.038566848658,-11.3807920321226,-28.4564390766954
E07000180,2022,-132.728735182353,-406.574548329328,-13.6334345409273,-41.7619250499112
E07000181,2022,-62.4080506660853,-198.293622362965,-6.41033814127739,-20.3680319612377
E07000242,2022,-187.695726577854,-547.888783227779,-19.2794529262656,-56.2772322932323
E07000243,2022,-73.2005194147166,-207.445011574578,-7.51890303506107,-21.3080308665514
E07000004,2022,8525.58084708452,25413.8757330858,2645.16105562709,7918.75405419144
E06000056,2022,4519.56555990391,13395.829871544,1348.95557771148,4030.1376204446
E07000012,2022,4519.56555990391,13395.829871544,1348.95557771148,4030.1376204446
E07000011,2022,4519.56555990391,13395.829871544,1348.95557771148,4030.1376204446
E06000030,2023,-178.083615461888,-686.187266390039,-18.2921302676144,-70.4827719957825
E06000032,2023,-187.813814020529,-643.413772439395,-19.2915824581082,-66.0892273043358
E06000042,2023,-343.202935138676,-1290.27378606683,4388.35491509455,17561.8976723031
E06000055,2023,-232.900736580038,-928.817167940599,-23.9227544987549,-95.4048725184504
E07000008,2023,-5.45269412535462,120.343765538328,4423.04744641199,17706.7914063214
E07000009,2023,-82.9852397466702,-341.85384424547,-8.52395551268541,-35.1140391843696
E07000099,2023,-135.558699454032,-528.630969381961,-13.9241186388212,-54.2991365620584
E07000151,2023,-82.925033238697,-331.319772526751,-8.51777130936077,-34.0320159357543
E07000154,2023,-226.225307709098,-893.747523039965,-23.2370776374517,-91.8026404360798
E07000155,2023,-101.963726403147,-392.867619480239,-10.4733597254315,-40.3539969402637
E07000156,2023,-65.3137252675255,-265.599330334136,-6.70879894120548,-27.2814404450528
E07000177,2023,-113.824408473468,-412.114839047827,-11.6916477803452,-42.3310044639852
E07000178,2023,-15.0684227997385,19.0389515614792,4422.0597521703,17696.3857277911
E07000179,2023,-108.809438916793,-385.848005765451,-11.1765275309001,-39.6329666075955
E07000180,2023,-127.453043022495,-534.027591351823,-13.0915337715069,-54.8534588214181
E07000181,2023,-62.7261374099121,-261.019759772876,-6.44301090648035,-26.811042867718
E07000242,2023,-178.700925966371,-726.58970919415,-18.3555382579244,-74.6327705511567
E07000243,2023,-75.7803553614347,-283.225366936013,-7.78389482043136,-29.0919256869827
E07000004,2023,8515.70853015943,33929.5842632453,2644.14700553175,10562.9010597232
E06000056,2023,4509.69324297882,17905.5231145228,1347.94152761614,5378.07914806075
E07000012,2023,4509.69324297882,17905.5231145228,1347.94152761614,5378.07914806075
E07000011,2023,4509.69324297882,17905.5231145228,1347.94152761614,5378.07914806075
E06000030,2024,-177.88129058747,-864.068556977506,-18.2713481594478,-88.7541201552301
E06000032,2024,-180.421074994541,-823.834847433936,-18.5322259898159,-84.6214532941517
E06000042,2024,-337.262645817863,-1627.53643188469,4388.96508097535,21950.8627532785
E06000055,2024,-230.119092552963,-1158.93626049356,-23.6370336885084,-119.041906206959
E07000008,2024,-20.4523833151338,99.8913822231946,4421.50673045156,22128.2981367729
E07000009,2024,-82.0999715221634,-423.953815767633,-8.43302383633519,-43.5470630207048
E07000099,2024,-139.723284385235,-668.354253767197,-14.3518903340136,-68.651026896072
E07000151,2024,-80.683955798211,-412.003728324962,-8.28757562080818,-42.3195915565625
E07000154,2024,-226.625823105485,-1120.37334614545,-23.2782171874653,-115.080857623545
E07000155,2024,-100.776133653634,-493.643753133873,-10.3513743242331,-50.7053712644968
E07000156,2024,-65.2633378466895,-330.862668180826,-6.70362332039729,-33.9850637654501
E07000177,2024,-106.49110076436,-518.605939812187,-10.9383958904418,-53.269400354427
E07000178,2024,-25.1652867438342,-6.12633518235488,4421.02263738532,22117.4083651764
E07000179,2024,-108.149492902382,-493.997498667834,-11.1087401691381,-50.7417067767336
E07000180,2024,-124.307317580257,-658.33490893208,-12.7684157832162,-67.6218746046343
E07000181,2024,-59.4264073378485,-320.446167110726,-6.10407409766949,-32.9151169653876
E07000242,2024,-178.180255951077,-904.769965145229,-18.3020568429077,-92.9348273940645
E07000243,2024,-70.9984599257459,-354.223826861759,-7.29271513492879,-36.3846408219116
E07000004,2024,8513.01829408168,42442.6025573269,2643.87067382848,13206.7717335517
E06000056,2024,4507.00300690107,22412.5261214239,1347.66519591287,6725.74434397362
E07000012,2024,4507.00300690107,22412.5261214239,1347.66519591287,6725.74434397362
E07000011,2024,4507.00300690107,22412.5261214239,1347.66519591287,6725.74434397362
E06000030,2025,-167.545926184752,-1031.61448316226,-17.2097354359672,-105.963855591198
E06000032,2025,-177.458036252457,-1001.29288368639,-18.22787294466,-102.849326238812
E06000042,2025,-327.671464861325,-1955.20789674602,4389.95025376074,26340.8130070392
E06000055,2025,-225.907220965275,-1384.84348145883,-23.2044048722492,-142.246311079208
E07000008,2025,-23.4265331295062,76.4648490936882,4421.20123611566,26549.4993728886
E07000009,2025,-78.1436545970777,-502.097470364711,-8.02664470714952,-51.5737077278543
E07000099,2025,-133.267234592706,-801.621488359903,-13.6887473294601,-82.339774225532
E07000151,2025,-77.8775056562556,-489.881233981217,-7.99930681262466,-50.3188983691871
E07000154,2025,-220.17416606246,-1340.54751220791,-22.6155253908792,-137.696383014424
E07000155,2025,-95.0066447695995,-588.650397903473,-9.75875247089428,-60.4641237353911
E07000156,2025,-61.5075370168169,-392.370205197642,-6.31784050786254,-40.3029042733126
E07000177,2025,-105.317203057432,-623.923142869619,-10.8178171964373,-64.0872175508643
E07000178,2025,-33.5616398340188,-39.6879750163737,4420.16019316719,26537.5685583436
E07000179,2025,-95.9952718060686,-589.992770473903,-9.86030080531165,-60.6020075820453
E07000180,2025,-116.523882245032,-774.858791177111,-11.9689283474282,-79.5908029520625
E07000181,2025,-58.9791220790547,-379.425289189779,-6.05813050988114,-38.9732474752686
E07000242,2025,-168.643596767855,-1073.41356191308,-17.3224843446468,-110.257311738711
E07000243,2025,-73.0873415156134,-427.311168377373,-7.50727779447708,-43.8919186163886
E07000004,2025,8494.53496073379,50937.1375180607,2641.97213004329,15848.743863595
E06000056,2025,4488.51967355318,26901.0457949771,1345.76665212768,8071.5109961013
E07000012,2025,4488.51967355318,26901.0457949771,1345.76665212768,8071.5109961013
E07000011,2025,4488.51967355318,26901.0457949771,1345.76665212768,8071.5109961013
E06000030,2026,-165.749550032757,-1197.36403319502,-17.0252179187508,-122.989073509949
E06000032,2026,-170.749274164664,-1172.04215785106,-17.5387722111307,-120.388098449943
E06000042,2026,-324.37845311203,-2279.58634985805,4390.28850048678,30731.101507526
E06000055,2026,-224.290689146102,-1609.13417060494,-23.0383603400704,-165.284671419278
E07000008,2026,-32.5071215549247,43.9577275387635,4420.26850962112,30969.7678825097
E07000009,2026,-72.7255856737281,-574.823056038439,-7.47011949124029,-59.0438272190946
E07000099,2026,-130.98481362743,-932.606301987334,-13.4543049776801,-95.7940792032123
E07000151,2026,-75.7170480891057,-565.598282070323,-7.77739211736502,-58.0962904865522
E07000154,2026,-223.518598820704,-1564.06611102861,-22.9590539043048,-160.655436918729
E07000155,2026,-92.0932182572623,-680.743616160734,-9.45949542161116,-69.9236191570023
