GEOGRAPHY_CODE,YEAR,GVA,JOBS,HOUSEHOLDS
E07000007,2028,0.0,0,0
E07000008,2028,273.117227,2972,834
E07000009,2028,78.483679,928,0
E07000010,2028,0.0,0,0
E07000011,2028,63.404539,664,0
E07000012,2028,296.383656,2936,250
E07000150,2028,0.0,0,0
E07000151,2028,0.0,0,0
E07000152,2028,-0.0,0,0
E07000153,2028,0.0,0,0
E07000154,2028,0.0,0,834
E07000155,2028,0.0,0,0
E07000156,2028,0.0,0,0
E07000177,2028,237.521922,2102,0
E07000178,2028,382.023765,3434,667
E07000179,2028,211.670045,1991,0
E07000180,2028,250.574654,2126,0
E07000181,2028,157.382693,1357,0
E06000031,2029,0.0,0,417
E06000032,2029,0.0,0,334
E06000042,2029,542.828036,4860,3336
E06000055,2029,65.139548,703,1668
E06000056,2029,92.648031,1017,0
E07000004,2029,89.91053,830,0
E07000005,2029,0.0,0,0
E07000006,2029,0.0,0,0
E07000007,2029,0.0,0,0
E07000008,2029,273.117227,2972,834
E07000009,2029,78.483679,928,0
E07000010,2029,0.0,0,0
E07000011,2029,63.404539,664,0
E07000012,2029,296.383656,2936,250
E07000150,2029,0.0,0,0
E07000151,2029,-0.0,0,0
E07000152,2029,0.0,0,0
E07000153,2029,0.0,0,0
E07000154,2029,0.0,0,834
E07000155,2029,0.0,0,0
E07000156,2029,0.0,0,0
E07000177,2029,237.521922,2102,0
E07000178,2029,382.023765,3434,667
E07000179,2029,211.670045,1991,0
E07000180,2029,250.574654,2126,0
E07000181,2029,157.382693,1357,0
E06000031,2030,0.0,0,417
E06000032,2030,0.0,0,334
E06000042,2030,542.828036,4860,3336
E06000055,2030,65.139548,703,1668
E06000056,2030,92.648031,1017,0
E07000004,2030,89.91053,830,0
E07000005,2030,0.0,0,0
E07000006,2030,0.0,0,0
E07000007,2030,0.0,0,0
E07000008,2030,273.117227,2972,834
E07000009,2030,78.483679,928,0
E07000010,2030,0.0,0,0
E07000011,2030,63.404539,664,0
E07000012,2030,296.383656,2936,250
E07000150,2030,0.0,0,0
E07000151,2030,0.0,0,0
E07000152,2030,-0.0,0,0
E07000153,2030,0.0,0,0
E07000154,2030,0.0,0,834
E07000155,2030,0.0,0,0
E07000156,2030,0.0,0,0
E07000177,2030,237.521922,2102,0
E07000178,2030,382.023765,3434,667
E07000179,2030,211.670045,1991,0
E07000180,2030,250.574654,2126,0
E07000181,2030,157.382693,1357,0
E06000031,2031,0.0,0,417
E06000032,2031,0.0,0,334
E06000042,2031,542.828036,4860,3336
E06000055,2031,65.139548,703,1668
E06000056,2031,92.648031,1017,0
E07000004,2031,89.91053,830,0
E07000005,2031,0.0,0,0
E07000006,2031,0.0,0,0
E07000007,2031,0.0,0,0
E07000008,2031,273.117227,2972,834
E07000009,2031,78.483679,928,0
E07000010,2031,0.0,0,0
E07000011,2031,63.404539,664,0
E07000012,2031,296.383656,2936,250
E07000150,2031,0.0,0,0
E07000151,2031,0.0,0,0
E07000152,2031,0.0,0,0
E07000153,2031,0.0,0,0
E07000154,2031,0.0,0,834
E07000155,2031,0.0,0,0
E07000156,2031,0.0,0,0
E07000177,2031,237.521922,2102,0
E07000178,2031,382.023765,3434,667
E07000179,2031,211.670045,1991,0
E07000180,2031,250.574654,2126,0
E07000181,2031,157.382693,1357,0
E06000031,2032,0.0,0,417
E06000032,2032,-0.0,0,334
E06000042,2032,542.828036,4860,3336
E06000055,2032,65.139548,703,1668
E06000056,2032,92.648031,1017,0
E07000004,2032,89.91053,830,0
E07000005,2032,0.0,0,0
E07000006,2032,0.0,0,0
E07000007,2032,0.0,0,0
E07000008,2032,273.117227,2972,834
E07000009,2032,78.483679,928,0
E07000010,2032,0.0,0,0
E07000011,2032,63.404539,664,0
E07000012,2032,296.383656,2936,250
E07000150,2032,0.0,0,0
E07000151,2032,0.0,0,0
E07000152,2032,0.0,0,0
E07000153,2032,0.0,0,0
E07000154,2032,0.0,0,834
E07000155,2032,0.0,0,0
E07000156,2032,0.0,0,0
E07000177,2032,237.521922,2102,0
E07000178,2032,382.023765,3434,667
E07000179,2032,211.670045,1991,0
E07000180,2032,250.574654,2126,0
E07000181,2032,157.382693,1357,0
E06000031,2033,0.0,0,417
E06000032,2033,0.0,0,334
E06000042,2033,542.828036,4860,3336
E06000055,2033,65.139548,703,1668
E06000056,2033,92.648031,1017,0
E07000004,2033,89.91053,830,0
E07000005,2033,-0.0,0,0
E07000006,2033,-0.0,0,0
E07000007,2033,0.0,0,0
E07000008,2033,273.117227,2972,834
E07000009,2033,78.483679,928,0
E07000010,2033,0.0,0,0
E07000011,2033,63.404539,664,0
E07000012,2033,296.383656,2936,250
E07000150,2033,0.0,0,0
E07000151,2033,0.0,0,0
E07000152,2033,0.0,0,0
E07000153,2033,0.0,0,0
E07000154,2033,0.0,0,834
E07000155,2033,0.0,0,0
E07000156,2033,-0.0,0,0
E07000177,2033,237.521922,2102,0
E07000178,2033,382.023765,3434,667
E07000179,2033,211.670045,1991,0
E07000180,2033,250.574654,2126,0
E07000181,2033,157.382693,1357,0
E06000031,2034,0.0,0,417
E06000032,2034,-0.0,0,334
E06000042,2034,542.828036,4860,3336
E06000055,2034,65.139548,703,1668
E06000056,2034,92.648031,1017,0
E07000004,2034,89.91053,830,0
E07000005,2034,0.0,0,0
E07000006,2034,0.0,0,0
E07000007,2034,0.0,0,0
E07000008,2034,273.117227,2972,834
E07000009,2034,78.483679,928,0
E07000010,2034,0.0,0,0
E07000011,2034,63.404539,664,0
E07000012,2034,296.383656,2936,250
E07000150,2034,0.0,0,0
E07000151,2034,0.0,0,0
E07000152,2034,0.0,0,0
E07000153,2034,0.0,0,0
E07000154,2034,0.0,0,834
E07000155,2034,0.0,0,0
E07000156,2034,0.0,0,0
E07000177,2034,237.521922,2102,0
E07000178,2034,382.023765,3434,667
E07000179,2034,211.670045,1991,0
E07000180,2034,250.574654,2126,0
E07000181,2034,157.382693,1357,0
E06000031,2035,0.0,0,417
E06000032,2035,0.0,0,334
E06000042,2035,542.828036,4860,3336
E06000055,2035,65.139548,703,1668
E06000056,2035,92.648031,1017,0
E07000004,2035,89.91053,830,0
E07000005,2035,-0.0,0,0
E07000006,2035,-0.0,0,0
E07000007,2035,0.0,0,0
E07000008,2035,273.117227,2972,834
E07000009,2035,78.483679,928,0
E07000010,2035,0.0,0,0
E07000011,2035,63.404539,664,0
E07000012,2035,296.383656,2936,250
E07000150,2035,0.0,0,0
E07000151,2035,0.0,0,0
E07000152,2035,0.0,0,0
E07000153,2035,0.0,0,0
E07000154,2035,0.0,0,834
E07000155,2035,0.0,0,0
E07000156,2035,0.0,0,0
E07000177,2035,237.521922,2102,0
E07000178,2035,382.023765,3434,667
E07000179,2035,211.670045,1991,0
E07000180,2035,250.574654,2126,0
E07000181,2035,157.382693,1357,0
E06000031,2036,0.0,0,417
E06000032,2036,0.0,0,334
E06000042,2036,542.828036,4860,3336
E06000055,2036,65.139548,703,1668
E06000056,2036,92.648031,1017,0
E07000004,2036,89.91053,830,0
E07000005,2036,0.0,0,0
E07000006,2036,0.0,0,0
E07000007,2036,0.0,0,0
E07000008,2036,273.117227,2972,834
E07000009,2036,78.483679,928,0
E07000010,2036,0.0,0,0
E07000011,2036,63.404539,664,0
E07000012,2036,296.383656,2936,250
E07000150,2036,0.0,0,0
E07000151,2036,0.0,0,0
E07000152,2036,-0.0,0,0
E07000153,2036,-0.0,0,0
E07000154,2036,0.0,0,834
E07000155,2036,0.0,0,0
E07000156,2036,0.0,0,0
E07000177,2036,237.521922,2102,0
E07000178,2036,382.023765,3434,667
E07000179,2036,211.670045,1991,0
E07000180,2036,250.574654,2126,0
E07000181,2036,157.382693,1357,0
E06000031,2037,0.0,0,417
E06000032,2037,0.0,0,334
E06000042,2037,542.828036,4860,3336
E06000055,2037,65.139548,703,1668
E06000056,2037,92.648031,1017,0
E07000004,2037,89.91053,830,0
E07000005,2037,0.0,0,0
E07000006,2037,0.0,0,0
