YEAR,GEOGRAPHY_CODE,HOUSEHOLDS
2035,E07000004,2660
2035,E07000005,-90
2035,E07000006,-112
2035,E07000007,-248
2035,E07000008,-337
2035,E07000009,-151
2035,E07000010,-196
2035,E07000011,-336
2035,E07000012,2765
2035,E07000150,-208
2035,E07000151,-140
2035,E07000152,-176
2035,E07000153,-242
2035,E07000154,-325
2035,E07000155,-160
2035,E07000156,-122
2035,E07000177,2849
2035,E07000178,-137
2035,E07000179,-234
2035,E07000180,-320
2035,E07000181,-204
2036,E06000031,-479
2036,E06000032,-199
2036,E06000042,-748
2036,E06000055,-396
2036,E06000056,5623
2036,E07000004,2660
2036,E07000005,-90
2036,E07000006,-112
2036,E07000007,-248
2036,E07000008,-337
2036,E07000009,-151
2036,E07000010,-196
2036,E07000011,-336
2036,E07000012,2765
2036,E07000150,-208
2036,E07000151,-140
2036,E07000152,-176
2036,E07000153,-242
2036,E07000154,-325
2036,E07000155,-160
2036,E07000156,-122
2036,E07000177,2849
2036,E07000178,-137
2036,E07000179,-234
2036,E07000180,-320
2036,E07000181,-204
2037,E06000031,-479
2037,E06000032,-199
2037,E06000042,-748
2037,E06000055,-396
2037,E06000056,5623
2037,E07000004,2660
2037,E07000005,-90
2037,E07000006,-112
2037,E07000007,-248
2037,E07000008,-337
2037,E07000009,-151
2037,E07000010,-196
2037,E07000011,-336
2037,E07000012,2765
2037,E07000150,-208
2037,E07000151,-140
2037,E07000152,-176
2037,E07000153,-242
2037,E07000154,-325
2037,E07000155,-160
2037,E07000156,-122
2037,E07000177,2849
2037,E07000178,-137
2037,E07000179,-234
2037,E07000180,-320
2037,E07000181,-204
2038,E06000031,-479
2038,E06000032,-199
2038,E06000042,-748
2038,E06000055,-396
2038,E06000056,5623
2038,E07000004,2660
2038,E07000005,-90
2038,E07000006,-112
2038,E07000007,-248
2038,E07000008,-337
2038,E07000009,-151
2038,E07000010,-196
2038,E07000011,-336
2038,E07000012,2765
2038,E07000150,-208
2038,E07000151,-140
2038,E07000152,-176
2038,E07000153,-242
2038,E07000154,-325
2038,E07000155,-160
2038,E07000156,-122
2038,E07000177,2849
2038,E07000178,-137
2038,E07000179,-234
2038,E07000180,-320
2038,E07000181,-204
2039,E06000031,-479
2039,E06000032,-199
2039,E06000042,-748
2039,E06000055,-396
2039,E06000056,5623
2039,E07000004,2660
2039,E07000005,-90
2039,E07000006,-112
2039,E07000007,-248
2039,E07000008,-337
2039,E07000009,-151
2039,E07000010,-196
2039,E07000011,-336
2039,E07000012,2765
2039,E07000150,-208
2039,E07000151,-140
2039,E07000152,-176
2039,E07000153,-242
2039,E07000154,-325
2039,E07000155,-160
2039,E07000156,-122
2039,E07000177,2849
2039,E07000178,-137
2039,E07000179,-234
2039,E07000180,-320
2039,E07000181,-204
2040,E06000031,-479
2040,E06000032,-199
2040,E06000042,-748
2040,E06000055,-396
2040,E06000056,5623
2040,E07000004,2660
2040,E07000005,-90
2040,E07000006,-112
2040,E07000007,-248
2040,E07000008,-337
2040,E07000009,-151
2040,E07000010,-196
2040,E07000011,-336
2040,E07000012,2765
2040,E07000150,-208
2040,E07000151,-140
2040,E07000152,-176
2040,E07000153,-242
2040,E07000154,-325
2040,E07000155,-160
2040,E07000156,-122
2040,E07000177,2849
2040,E07000178,-137
2040,E07000179,-234
2040,E07000180,-320
2040,E07000181,-204
2041,E06000031,-479
2041,E06000032,-199
2041,E06000042,-748
2041,E06000055,-396
2041,E06000056,5623
2041,E07000004,2660
2041,E07000005,-90
2041,E07000006,-112
2041,E07000007,-248
2041,E07000008,-337
2041,E07000009,-151
2041,E07000010,-196
