,,GEOGRAPHY_CODE,HOUSEHOLD_TYPE,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,W06000001,5+ person (No children) ,182.783249,185.89537,189.739655,192.93956,195.832367,198.74144,200.757767,203.014618,205.21666,207.966507,210.216171,213.487915,216.927429,221.755676,226.288345,231.356277,237.264725,242.814575,248.119965,252.395767,256.203125,259.828156,262.95752,266.276001,269.436981,272.830353
,,W06000001,"5+ person (2+ adults, 1+ children) ",1572.570313,1567.609375,1561.481201,1558.680054,1554.727783,1549.489136,1545.718262,1541.462891,1537.788574,1533.042725,1529.354248,1524.530029,1518.499268,1511.650269,1504.275513,1495.34436,1485.784912,1476.677856,1468.458984,1460.845093,1454.076294,1447.466675,1440.980225,1435.020874,1428.522461,1422.351196
,,W06000001,"5+ person (1 adult, 4+ children) ",73.513451,74.977455,76.111839,77.560844,78.775963,80.073196,81.221672,82.414337,83.635132,84.578423,85.293213,85.97438,86.474968,86.83181,87.034081,87.16423,87.279846,87.411057,87.505165,87.731125,88.079376,88.427742,88.904518,89.49231,90.218056,90.9533
,Gwynedd ,W06000002,All,53102.832436,53363.955452,53648.049255,53922.475922,54202.417519,54497.630707,54775.446732,55078.347626,55401.750435,55716.100212,56019.355072,56307.815536,56582.505646,56842.455658,57090.941666,57326.836624,57554.889023,57786.642578,58001.534439,58215.527954,58420.002442,58625.013824,58831.020279,59033.478378,59224.129959,59416.112869
,,W06000002,1 person ,19213.8125,19441.423828,19675.113281,19915.462891,20157.1875,20420.664063,20644.333984,20890.990234,21169.078125,21427.726563,21677.287109,21904.353516,22111.677734,22322.287109,22524.720703,22725.269531,22904.523438,23103.005859,23299.654297,23493.28125,23677.275391,23856.845703,24042.455078,24229.21875,24410.595703,24604.261719
,,W06000002,2 person (No children) ,16083.216797,16149.320313,16243.040039,16311.736328,16377.152344,16431.826172,16495.566406,16562.681641,16606.876953,16655.710938,16697.181641,16743.539063,16790.072266,16809.039063,16821.626953,16816.488281,16823.341797,16814.677734,16777.705078,16738.048828,16692.445313,16652.142578,16605.853516,16553.066406,16489.734375,16415.441406
,,W06000002,"2 person (1 adult, 1 child) ",1386.137085,1379.919556,1371.233154,1363.631958,1359.527832,1355.318604,1354.887817,1356.236694,1364.640869,1371.928711,1376.145264,1376.292847,1377.382568,1379.492188,1382.77832,1385.345337,1388.135376,1390.317993,1398.05127,1407.835571,1419.393189,1431.20752,1443.053101,1455.112305,1467.175537,1478.106934
,,W06000002,3 person (No children) ,3124.766357,3111.509766,3105.583008,3090.841064,3073.427734,3054.580078,3034.787354,3012.011719,2988.717041,2966.492432,2944.299072,2926.459961,2907.025391,2885.662842,2864.848633,2845.173096,2825.30835,2807.210693,2788.689453,2770.446045,2751.86792,2734.177734,2715.316162,2698.223877,2680.268799,2663.280762
,,W06000002,"3 person (2 adults, 1 child) ",2825.761475,2807.696045,2790.625977,2774.017578,2765.53418,2763.471924,2763.304443,2766.694092,2775.710938,2783.450439,2789.80542,2794.289307,2799.550537,2806.96582,2813.997803,2821.564697,2828.881836,2836.010498,2846.847656,2859.560791,2873.865967,2889.205811,2905.607178,2921.927979,2937.758545,2950.97168
,,W06000002,"3 person (1 adult, 2 children) ",865.318787,860.502197,852.243225,847.028992,842.210022,837.18042,833.326355,830.752258,828.211487,827.25,827.110779,825.879211,825.239502,825.664795,826.060974,827.165527,828.398621,829.80011,832.350525,835.278503,837.992432,840.262939,842.066406,843.473206,844.625793,845.260498
